股票,市场/代码,分档,更新日期,最新收盘价,收盘日,价格信号,当前判断,PE,PB,ROE,股息率,观察价位,历史回测参考买入区间（非保证）,主要风险,推荐买入
安井食品,A股/603345,合理档偏高,2026-09-23,79.48元,2026-09-23,🟠 价格偏高,"基本面修复，但当前价格接近观察区间上沿且明显高于参考买入价",待更新,约1.57倍,TTM约9%—10%,约3.85%—4.2%,"70元以下更具安全边际；70—80元合理偏低","68元或以下；对应更高安全边际","原材料、竞争、并购减值、ROE偏低",— 继续观察/不追高
海天味业,A股/603288,合理档,2026-09-23,34.27元,2026-09-23,—,"调味品龙头收入和利润保持增长，但现金流下降且估值仍需消化",约27.40倍,约5.13倍,2026H1约10.07%,约3.96%,"32—36元合理观察；30元附近安全边际更高","32.00元或以下；独立事件回测12个月88.9%、24个月100%（样本较少，非保证）","消费复苏弱于预期、渠道竞争和促销、原材料成本、现金流波动、H股上市后估值体系变化",— 继续观察
青岛啤酒,A股/600600,合理档偏高,2026-09-23,50.46元,2026-09-23,🟠 价格偏高,"高端化与现金流较强，但销量和营收下滑，当前价格高于参考买入区间",约14.95倍,约2.20倍,2026H1约12.02%,约4.66%,"42—48元观察；40元附近安全边际更高","40.00元或以下；独立事件回测12个月66.7%、24个月100%（样本较少，非保证）","啤酒销量下滑、消费需求疲弱、行业竞争、原料与汇率波动、理财收益波动",— 继续观察/不追高
海底捞,港股/06862,合理档,2026-09-23,9.275港元,2026-09-23,—,"高ROE高股息，但主品牌处于调整期",待更新,约5倍,约40%,约7.6%,"9—10港元可观察；10—12港元需验证主品牌修复","8.80港元或以下；需等待更大安全边际","主品牌收入、客单价、外卖利润率、多品牌扩张",— 继续观察
兴业银行,A股/601166,合理档偏高,2026-09-23,17.87元,2026-09-23,🟠 价格偏高,"低PB、高股息，但当前价格相对参考买入价明显溢价",约4.99倍,约0.45倍,2026H1约4.79%,约6.00%,"17元以下更有吸引力；16元附近安全边际更高","16.00元或以下；PB约0.40倍、股息率约6.7%","净息差继续下行、房地产与地方债、信用成本上升、利润承压",— 继续观察/不追高
国药股份,A股/600511,合理档偏高,2026-09-23,26.11元,2026-09-23,🟠 价格偏高,"中报增收不增利、现金流恶化，且当前价格高于观察区间",约10.20倍,约1.05倍,2026H1约4.69%,约3.07%,"22—24元再评估；先看利润和现金流是否修复","22.00元或以下；需以现金流转正为重要验证条件","集采与DRG/DIP压缩价差、低毛利、应收账款与存货占用、减值风险",— 继续观察/不追高
云南白药,A股/000538,合理档偏高,2026-09-23,51.36元,2026-09-23,🟠 价格偏高,"品牌中药与健康品现金流较强，业绩低速增长，但当前价格高于参考买入区间",约12.38倍,约2.24倍,2026H1约9.04%,约5.07%,"46—50元关注；50元以上不追高","46.00元或以下；2016年以来独立事件回测12个月80.0%、24个月83.3%（非保证）","核心品种增长放缓、药品与日化竞争、上海医药投资收益波动、渠道库存与中药材价格",— 继续观察/不追高
中国神华,A股/601088,合理档偏高,2026-09-23,47.21元,2026-09-23,🟠 价格偏高,"一体化能源龙头、现金流强，但当前价格和周期估值偏高",约17.62倍,约2.22倍,2026H1约5.83%,约4.35%,"42元以下关注；40元附近股息率和安全边际更好","40.00元或以下；股息率约5%左右","煤价周期、能源转型、资本开支、股息受盈利周期影响",— 继续观察/不追高
伊利股份,A股/600887,合理档偏高,2026-09-23,26.92元,2026-09-23,🟠 价格偏高,"龙头品牌和现金流较强，但当前价格偏高，仍需等待利润率修复",约16.62倍,约3.13倍,2026H1约10.09%,约5.19%,"25元以下更适合分批；24元附近股息率和安全边际更高","24.00元或以下；股息率约5.8%","乳业价格竞争、促销与渠道投入、原奶价格、液态奶业务承压",— 继续观察/不追高
重庆银行,A股/601963,合理档偏高,2026-09-23,10.81元,2026-09-23,🟠 价格偏高,"区域城商行盈利保持双位数增长，但估值已高于参考买入区间",约5.62倍,约0.66倍,2026H1年化约12.03%,约6.02%,"9.50元以下关注；10.50元以上不追高","9.50元或以下；PB约0.58倍","城投和地产敞口、区域经济波动、资产质量和息差压力",— 继续观察/不追高
